backend,variant,bytes,iterations,key,calls,seconds,usec_per_iter,calls_per_iter
tb_cuda,kernels,5000000,10000,pread64,2.0,0.0,0.0,0.0002
tb_cuda,kernels,5000000,10000,prlimit64,1.0,0.0,0.0,0.0001
tb_cuda,kernels,5000000,10000,read,8.0,0.0,0.0,0.0008
tb_cuda,kernels,7500000,10000,access,1.0,1e-05,0.001,0.0001
tb_cuda,kernels,7500000,10000,brk,3.0,1.3e-05,0.0013,0.0003
tb_cuda,kernels,7500000,10000,close,8.0,2.8e-05,0.0028,0.0008
tb_cuda,kernels,7500000,10000,execve,1.0,0.000261,0.0261,0.0001
tb_cuda,kernels,7500000,10000,fstat,8.0,3.3e-05,0.0033,0.0008
tb_cuda,kernels,7500000,10000,futex,2.0,7e-06,0.0007,0.0002
tb_cuda,kernels,7500000,10000,getrandom,1.0,4e-06,0.0004,0.0001
tb_cuda,kernels,7500000,10000,mmap,39.0,0.0003,0.03,0.0039
tb_cuda,kernels,7500000,10000,mprotect,11.0,7.7e-05,0.0077,0.0011
tb_cuda,kernels,7500000,10000,munmap,2.0,1.3e-05,0.0013,0.0002
tb_cuda,kernels,7500000,10000,newfstatat,7.0,4.7e-05,0.0047,0.0007
tb_cuda,kernels,7500000,10000,openat,22.0,0.000198,0.0198,0.0022
tb_cuda,kernels,7500000,10000,pread64,2.0,7e-06,0.0007,0.0002
tb_cuda,kernels,7500000,10000,prlimit64,1.0,3e-06,0.0003,0.0001
tb_cuda,kernels,7500000,10000,read,8.0,3.4e-05,0.0034,0.0008
tb_cuda,kernels,10000000,10000,access,1.0,6e-06,0.0006,0.0001
tb_cuda,kernels,10000000,10000,brk,3.0,1.5e-05,0.0015,0.0003
tb_cuda,kernels,10000000,10000,close,8.0,2.9e-05,0.0029,0.0008
tb_cuda,kernels,10000000,10000,execve,1.0,4e-05,0.004,0.0001
tb_cuda,kernels,10000000,10000,fstat,8.0,3.1e-05,0.0031,0.0008
tb_cuda,kernels,10000000,10000,futex,2.0,1e-05,0.001,0.0002
tb_cuda,kernels,10000000,10000,getrandom,1.0,5e-06,0.0005,0.0001
tb_cuda,kernels,10000000,10000,mmap,39.0,0.000294,0.0294,0.0039
tb_cuda,kernels,10000000,10000,mprotect,11.0,0.0001,0.01,0.0011
tb_cuda,kernels,10000000,10000,munmap,2.0,1e-05,0.001,0.0002
tb_cuda,kernels,10000000,10000,newfstatat,7.0,3.9e-05,0.0039,0.0007
tb_cuda,kernels,10000000,10000,openat,22.0,0.000177,0.0177,0.0022
tb_cuda,kernels,10000000,10000,pread64,2.0,8e-06,0.0008,0.0002
tb_cuda,kernels,10000000,10000,prlimit64,1.0,5e-06,0.0005,0.0001
tb_cuda,kernels,10000000,10000,read,8.0,3.2e-05,0.0032,0.0008
